,year,m  d,day,t,wheather,count
579,2020,7 13,3,0,0,349.0
580,2020,7 13,3,1,0,272.0
581,2020,7 13,3,2,0,434.5
582,2020,7 14,4,0,0,382.0
583,2020,7 14,4,1,0,326.0
584,2020,7 14,4,2,2,22.950000000000003
585,2020,7 15,5,0,1,257.0
586,2020,7 15,5,1,1,155.0
587,2020,7 15,5,2,0,352.0
588,2020,7 16,6,0,0,834.0
589,2020,7 16,6,1,0,697.0
590,2020,7 16,6,2,2,45.550000000000004
591,2020,7 17,0,0,1,667.0
592,2020,7 17,0,1,2,58.650000000000006
593,2020,7 17,0,2,2,63.85
594,2020,7 18,1,0,0,435.0
595,2020,7 18,1,1,1,135.0
596,2020,7 18,1,2,1,221.0
597,2020,7 19,2,0,2,23.650000000000002
598,2020,7 19,2,1,1,179.0
599,2020,7 19,2,2,1,350.0
