,yer,m/d,day,time,wheather,count
966,2020,11 19,6,0,0,805.0
967,2020,11 19,6,1,0,719.0
968,2020,11 19,6,2,0,892.0
969,2020,11 20,0,0,0,869.0
970,2020,11 20,0,1,0,856.0
971,2020,11 20,0,2,0,1112.0
972,2020,11 21,1,0,1,304.0
973,2020,11 21,1,1,0,317.0
974,2020,11 21,1,2,2,16.05
975,2020,11 22,2,0,1,265.0
976,2020,11 22,2,1,1,137.0
977,2020,11 22,2,2,0,408.0
978,2020,11 23,3,0,0,476.5
979,2020,11 23,3,1,1,135.5
980,2020,11 23,3,2,0,412.5
981,2020,11 24,4,0,0,477.0
982,2020,11 24,4,1,0,264.0
983,2020,11 24,4,2,1,353.0
984,2020,11 25,5,0,0,400.0
985,2020,11 25,5,1,1,203.0
986,2020,11 25,5,2,1,215.0
987,2020,11 26,6,0,1,578.0
988,2020,11 26,6,1,1,627.0
989,2020,11 26,6,2,0,860.0
990,2020,11 27,0,0,1,767.0
991,2020,11 27,0,1,0,857.0
992,2020,11 27,0,2,0,983.0
993,2020,11 28,1,0,1,249.0
994,2020,11 28,1,1,0,336.0
995,2020,11 28,1,2,1,262.0
996,2020,11 29,2,0,0,451.0
997,2020,11 29,2,1,0,347.0
998,2020,11 29,2,2,0,426.0
999,2020,11 30,3,0,0,363.5
1000,2020,11 30,3,1,0,321.5
1001,2020,11 30,3,2,0,367.5
1002,2020,12 1,4,0,0,392.0
1003,2020,12 1,4,1,0,245.0
1004,2020,12 1,4,2,2,19.700000000000003
1005,2020,12 2,5,0,0,357.0
1006,2020,12 2,5,1,2,8.55
1007,2020,12 2,5,2,0,451.0
1008,2020,12 3,6,0,1,608.0
1009,2020,12 3,6,1,0,752.0
1010,2020,12 3,6,2,1,615.0
1011,2020,12 4,0,0,1,836.0
1012,2020,12 4,0,1,1,641.0
1013,2020,12 4,0,2,0,1011.0
1014,2020,12 5,1,0,0,453.0
1015,2020,12 5,1,1,0,292.0
1016,2020,12 5,1,2,0,535.0
1017,2020,12 6,2,0,1,281.0
1018,2020,12 6,2,1,0,293.0
1019,2020,12 6,2,2,0,389.0
1020,2020,12 7,3,0,1,286.0
1021,2020,12 7,3,1,0,303.5
1022,2020,12 7,3,2,0,388.5
1023,2020,12 8,4,0,1,241.0
1024,2020,12 8,4,1,0,402.0
1025,2020,12 8,4,2,0,309.0
1026,2020,12 9,5,0,2,16.05
1027,2020,12 9,5,1,1,206.0
1028,2020,12 9,5,2,2,26.25
1029,2020,12 10,6,0,0,787.0
1030,2020,12 10,6,1,0,854.0
1031,2020,12 10,6,2,1,583.0
1032,2020,12 11,0,0,1,773.0
1033,2020,12 11,0,1,2,64.55
1034,2020,12 11,0,2,0,995.0
1035,2020,12 12,1,0,2,21.05
1036,2020,12 12,1,1,1,190.0
1037,2020,12 12,1,2,2,16.75
1038,2020,12 13,2,0,1,212.0
1039,2020,12 13,2,1,1,238.0
1040,2020,12 13,2,2,0,405.0
1041,2020,12 14,3,0,2,12.8
1042,2020,12 14,3,1,1,158.5
1043,2020,12 14,3,2,0,449.5
1044,2020,12 15,4,0,0,418.0
1045,2020,12 15,4,1,0,275.0
1046,2020,12 15,4,2,0,347.0
1047,2020,12 16,5,0,1,246.0
1048,2020,12 16,5,1,1,179.0
1049,2020,12 16,5,2,1,234.0
1050,2020,12 17,6,0,1,695.0
1051,2020,12 17,6,1,2,48.7
1052,2020,12 17,6,2,2,59.35
1053,2020,12 18,0,0,0,920.0
1054,2020,12 18,0,1,0,833.0
1055,2020,12 18,0,2,0,854.0
1056,2020,12 19,1,0,2,14.0
1057,2020,12 19,1,1,1,208.0
1058,2020,12 19,1,2,0,335.0
1059,2020,12 20,2,0,0,403.0
1060,2020,12 20,2,1,2,13.5
1061,2020,12 20,2,2,0,476.0
1062,2020,12 21,3,0,2,16.75
1063,2020,12 21,3,1,2,3.9000000000000004
1064,2020,12 21,3,2,0,407.0
1065,2020,12 22,4,0,0,367.0
1066,2020,12 22,4,1,1,135.0
1067,2020,12 22,4,2,1,337.0
1068,2020,12 23,5,0,0,386.0
1069,2020,12 23,5,1,0,212.0
1070,2020,12 23,5,2,0,491.0
1071,2020,12 24,6,0,2,55.95
1072,2020,12 24,6,1,0,631.0
1073,2020,12 24,6,2,0,776.0
1074,2020,12 25,0,0,0,877.0
1075,2020,12 25,0,1,1,686.0
1076,2020,12 25,0,2,0,980.0
1077,2020,12 26,1,0,1,261.0
1078,2020,12 26,1,1,1,156.0
1079,2020,12 26,1,2,0,443.0
1080,2020,12 27,2,0,1,269.0
1081,2020,12 27,2,1,0,299.0
1082,2020,12 27,2,2,1,279.0
1083,2020,12 28,3,0,0,382.5
1084,2020,12 28,3,1,1,159.5
1085,2020,12 28,3,2,2,24.8
1086,2020,12 29,4,0,0,368.0
1087,2020,12 29,4,1,1,144.0
1088,2020,12 29,4,2,0,440.0
1089,2020,12 30,5,0,2,12.700000000000001
1090,2020,12 30,5,1,0,326.0
1091,2020,12 30,5,2,2,23.3
1092,2020,12 31,6,0,1,636.0
1093,2020,12 31,6,1,0,676.0
1094,2020,12 31,6,2,0,860.0
