,year,m/d,day,time,wheather,count
697,2020,8 21,0,noon,2,60.8
698,2020,8 21,0,evening,2,69.15
699,2020,8 22,1,monring,0,383
700,2020,8 22,1,noon,1,192
701,2020,8 22,1,evening,1,267
702,2020,8 23,2,monring,0,353
703,2020,8 23,2,noon,1,121
704,2020,8 23,2,evening,2,27.05
705,2020,8 24,3,monring,0,334.5
706,2020,8 24,3,noon,0,307.5
707,2020,8 24,3,evening,0,376
708,2020,8 25,4,monring,1,216
709,2020,8 25,4,noon,1,199
710,2020,8 25,4,evening,1,291
711,2020,8 26,5,monring,1,275
712,2020,8 26,5,noon,0,250
713,2020,8 26,5,evening,1,290
714,2020,8 27,6,monring,0,814
715,2020,8 27,6,noon,1,544
716,2020,8 27,6,evening,0,878
717,2020,8 28,0,monring,0,919
718,2020,8 28,0,noon,2,62.35
719,2020,8 28,0,evening,1,843
720,2020,8 29,1,monring,0,490
721,2020,8 29,1,noon,0,356
722,2020,8 29,1,evening,0,442
723,2020,8 30,2,monring,1,324
724,2020,8 30,2,noon,1,197
725,2020,8 30,2,evening,0,473
726,2020,8 31,3,monring,0,423.5
727,2020,8 31,3,noon,0,330.5
728,2020,8 31,3,evening,2,17.45
729,2020,9 1,4,monring,2,16.9
730,2020,9 1,4,noon,0,340
731,2020,9 1,4,evening,0,450
732,2020,9 2,5,monring,2,13.1
733,2020,9 2,5,noon,0,291
734,2020,9 2,5,evening,2,
735,2020,9 3,6,monring,0,845
736,2020,9 3,6,noon,0,718
737,2020,9 3,6,evening,0,896
738,2020,9 4,0,monring,1,761
739,2020,9 4,0,noon,0,854
740,2020,9 4,0,evening,2,74.2
741,2020,9 5,1,monring,2,19.55
742,2020,9 5,1,noon,1,136
743,2020,9 5,1,evening,0,496
744,2020,9 6,2,monring,0,463
745,2020,9 6,2,noon,2,6.7
746,2020,9 6,2,evening,0,378
747,2020,9 7,3,monring,0,384
748,2020,9 7,3,noon,2,9.2
749,2020,9 7,3,evening,1,288
750,2020,9 8,4,monring,2,26.35
751,2020,9 8,4,noon,0,273
752,2020,9 8,4,evening,1,240
753,2020,9 9,5,monring,1,283
754,2020,9 9,5,noon,0,261
755,2020,9 9,5,evening,0,451
756,2020,9 10,6,monring,0,783
757,2020,9 10,6,noon,0,669
758,2020,9 10,6,evening,1,718
759,2020,9 11,0,monring,0,931
760,2020,9 11,0,noon,0,857
761,2020,9 11,0,evening,0,887
762,2020,9 12,1,monring,0,441
763,2020,9 12,1,noon,1,115
764,2020,9 12,1,evening,1,
765,2020,9 13,2,monring,2,12.95
766,2020,9 13,2,noon,1,171
767,2020,9 13,2,evening,1,296
768,2020,9 14,3,monring,1,185.5
769,2020,9 14,3,noon,0,250
770,2020,9 14,3,evening,2,17.8
771,2020,9 15,4,monring,0,322
772,2020,9 15,4,noon,1,204
773,2020,9 15,4,evening,2,24.95
774,2020,9 16,5,monring,0,459
775,2020,9 16,5,noon,0,392
776,2020,9 16,5,evening,0,395
777,2020,9 17,6,monring,1,647
778,2020,9 17,6,noon,1,596
779,2020,9 17,6,evening,0,862
780,2020,9 18,0,monring,1,790
781,2020,9 18,0,noon,0,964
782,2020,9 18,0,evening,0,935
783,2020,9 19,1,monring,2,17.65
784,2020,9 19,1,noon,2,1.85
785,2020,9 19,1,evening,0,455
786,2020,9 20,2,monring,2,22.65
787,2020,9 20,2,noon,2,10.15
788,2020,9 20,2,evening,2,28.75
789,2020,9 21,3,monring,0,404
790,2020,9 21,3,noon,0,268
791,2020,9 21,3,evening,1,286.5
792,2020,9 22,4,monring,2,16.75
793,2020,9 22,4,noon,1,200
794,2020,9 22,4,evening,1,
795,2020,9 23,5,monring,1,261
796,2020,9 23,5,noon,0,334
797,2020,9 23,5,evening,2,29.25
798,2020,9 24,6,monring,0,862
799,2020,9 24,6,noon,1,599
