,y,m/d,day,time,wheather,counts
107,2020,2 5,6,evening,2,66.10000000000001
108,2020,2 6,0,monring,0,789.0
109,2020,2 6,0,noon,2,62.35
110,2020,2 6,0,evening,1,831.0
111,2020,2 7,1,monring,1,259.0
112,2020,2 7,1,noon,0,242.0
113,2020,2 7,1,evening,1,278.0
114,2020,2 8,2,monring,0,409.0
115,2020,2 8,2,noon,0,376.0
116,2020,2 8,2,evening,0,459.0
117,2020,2 9,3,monring,2,23.0
118,2020,2 9,3,noon,2,3.6500000000000004
119,2020,2 9,3,evening,2,22.450000000000003
120,2020,2 10,4,monring,2,15.450000000000001
121,2020,2 10,4,noon,0,232.0
122,2020,2 10,4,evening,0,386.0
123,2020,2 11,5,monring,0,375.0
124,2020,2 11,5,noon,2,9.850000000000001
125,2020,2 11,5,evening,0,458.0
126,2020,2 12,6,monring,0,842.0
127,2020,2 12,6,noon,0,794.0
128,2020,2 12,6,evening,2,61.35
129,2020,2 13,0,monring,2,69.15
130,2020,2 13,0,noon,1,686.0
131,2020,2 13,0,evening,0,908.0
132,2020,2 14,1,monring,1,271.0
133,2020,2 14,1,noon,0,355.0
134,2020,2 14,1,evening,0,458.0
135,2020,2 15,2,monring,1,264.0
136,2020,2 15,2,noon,1,237.0
137,2020,2 15,2,evening,0,429.0
138,2020,2 16,3,monring,1,324.0
139,2020,2 16,3,noon,1,192.0
140,2020,2 16,3,evening,0,330.5
141,2020,2 17,4,monring,2,19.700000000000003
142,2020,2 17,4,noon,0,294.0
143,2020,2 17,4,evening,0,478.0
144,2020,2 18,5,monring,0,348.0
145,2020,2 18,5,noon,0,347.0
146,2020,2 18,5,evening,2,22.950000000000003
147,2020,2 19,6,monring,2,60.2
148,2020,2 19,6,noon,0,642.0
149,2020,2 19,6,evening,0,783.0
150,2020,2 20,0,monring,2,79.55000000000001
151,2020,2 20,0,noon,2,64.75
152,2020,2 20,0,evening,1,746.0
153,2020,2 21,1,monring,1,289.0
154,2020,2 21,1,noon,0,289.0
155,2020,2 21,1,evening,2,25.900000000000002
156,2020,2 22,2,monring,0,432.0
157,2020,2 22,2,noon,0,310.0
158,2020,2 22,2,evening,2,16.400000000000002
159,2020,2 23,3,monring,0,331.5
160,2020,2 23,3,noon,0,325.5
161,2020,2 23,3,evening,0,381.0
162,2020,2 24,4,monring,1,272.0
163,2020,2 24,4,noon,1,184.0
164,2020,2 24,4,evening,0,590.0
165,2020,2 25,5,monring,0,410.0
166,2020,2 25,5,noon,1,133.0
167,2020,2 25,5,evening,1,305.0
168,2020,2 26,6,monring,1,642.0
169,2020,2 26,6,noon,0,676.0
170,2020,2 26,6,evening,0,802.0
171,2020,2 27,0,monring,2,65.15
172,2020,2 27,0,noon,2,54.900000000000006
173,2020,2 27,0,evening,0,959.0
174,2020,2 28,1,monring,0,349.0
175,2020,2 28,1,noon,0,370.0
176,2020,2 28,1,evening,0,458.0
177,2020,3 1,2,monring,0,494.0
178,2020,3 1,2,noon,2,6.75
179,2020,3 1,2,evening,0,441.0
180,2020,3 2,3,monring,0,398.5
181,2020,3 2,3,noon,0,347.0
182,2020,3 2,3,evening,1,290.5
183,2020,3 3,4,monring,0,431.0
184,2020,3 3,4,noon,0,320.0
185,2020,3 3,4,evening,0,394.0
186,2020,3 4,5,monring,2,14.8
187,2020,3 4,5,noon,2,4.1000000000000005
188,2020,3 4,5,evening,0,442.0
189,2020,3 5,6,monring,0,840.0
190,2020,3 5,6,noon,0,852.0
191,2020,3 5,6,evening,1,666.0
192,2020,3 6,0,monring,1,843.0
193,2020,3 6,0,noon,0,875.0
194,2020,3 6,0,evening,0,918.0
195,2020,3 7,1,monring,0,469.0
196,2020,3 7,1,noon,0,369.0
197,2020,3 7,1,evening,2,23.950000000000003
198,2020,3 8,2,monring,2,21.35
199,2020,3 8,2,noon,0,274.0
